instance,n,optimum,arm,seed,cost,gap,routes,wall,iterations,accepted,infeasible,reversals,vnd_steps,epsilon_end,calls_relocate,calls_swap,calls_two_opt,calls_or_opt,calls_cross_exchange,impr_relocate,impr_swap,impr_two_opt,impr_or_opt,impr_cross_exchange,mode,time_budget,max_iterations,cfg_k_min,cfg_k_step,cfg_k_max,cfg_e,cfg_reverse_p,cfg_reward,cfg_alpha,cfg_gamma,cfg_eps_start,cfg_eps_end
A-n62-k8,62,1288,fixed,0,1312.0,1.8633540372670807,8,20.01,601,17,0,0,20809,,17021,1281,986,838,683,15740,295,148,155,81,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,1,1327.0,3.027950310559006,8,20.024,634,17,0,0,22649,,18703,1339,990,841,776,17364,349,149,65,141,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,2,1322.0,2.639751552795031,8,20.03,592,16,0,0,21290,,17240,1443,1050,853,704,15797,393,197,149,111,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,3,1313.0,1.9409937888198758,8,20.029,612,5,0,0,22066,,18518,1147,880,808,713,17371,267,72,95,100,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,4,1307.0,1.4751552795031055,8,20.033,580,15,0,0,22583,,18618,1392,962,853,758,17226,430,109,95,177,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,5,1309.0,1.6304347826086956,8,20.036,537,9,0,0,20690,,17079,1211,874,811,715,15868,337,63,96,177,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,6,1320.0,2.484472049689441,8,17.802,519,6,0,0,20199,,16970,1068,846,693,622,15902,222,153,71,102,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,7,1327.0,3.027950310559006,8,20.014,595,10,0,0,21873,,18140,1233,957,808,735,16907,276,149,73,139,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,8,1322.0,2.639751552795031,8,20.02,578,11,0,0,20734,,16840,1304,1001,834,755,15536,303,167,79,176,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
A-n62-k8,62,1288,fixed,9,1319.0,2.406832298136646,8,20.022,593,9,0,0,22403,,18339,1447,1043,827,747,16892,404,216,80,153,time,20.0,,1,1,12,5,0.0,improvement,0.1,0.9,0.9,0.05
